time,r1,r2,r3,r4,fr1,fr2,fr3,fr4,rotation,frotation,height_vel,fheight_vel,o1,o2,o3,o4
16.50999999999978,1.875,-41.3125,-1.875,41.3125,-10.476676966524074,-21.789096931916518,10.476676966524074,21.789096931916518,-14.0625,-14.71045130493368,0.14102437463268197,0.2080431207369222,0,476.48721762439163,0,280.6797956953876
16.519999999999783,2.875,-41.4375,-2.875,41.4375,-9.839859515884488,-22.90825801065874,9.839859515884488,22.90825801065874,-14.0625,-15.77807865701005,0.1412555458395863,0.21224670344354285,0,475.4262051611056,0,282.3725623236869
16.529999999999784,3.8125,-41.5,-3.8125,41.5,-9.148851437415562,-23.984186294185935,9.148851437415562,23.984186294185935,-14.0625,-16.834901584725007,0.13997844030808482,0.21623844327527333,0,474.21364672206494,0,284.53683882553025
16.539999999999786,4.75,-41.4375,-4.75,41.4375,-8.411218618501715,-25.014834875893605,8.411218618501715,25.014834875893605,-14.0625,-17.85279710521974,0.1388904075532515,0.21996652528122632,0,473.0194156359861,0,287.0147703057979
16.549999999999788,5.625,-41.3125,-5.625,41.3125,-7.636601745049618,-26.000473455839522,7.636601745049618,26.000473455839522,-14.0625,-18.804925078332765,0.13649105161274677,0.22337896404410984,0,471.9849944670142,0,289.67005583215575
16.55999999999979,6.375,-41.125,-6.375,41.125,-6.836419598248907,-26.943075096683103,6.836419598248907,26.943075096683103,-14.0625,-19.667237314019033,0.13435716814253568,0.226424892465404,0,471.2123596901765,0,292.39807838482625
16.56999999999979,6.75,-41.0625,-6.75,41.0625,-6.023542608340415,-27.845600005032423,6.023542608340415,27.845600005032423,-14.0625,-20.419849941323406,0.13095267669930172,0.22905593916382783,0,470.7569896711202,0,295.1322550052307
16.579999999999792,7.4375,-40.875,-7.4375,40.875,-5.2119456611784205,-28.711252989800357,5.2119456611784205,28.711252989800357,-14.0625,-21.048165933311193,0.12787937727697432,0.23122764377531518,0,470.62559919415753,0,297.845961634893
16.589999999999794,8.0,-40.5625,-8.0,40.5625,-4.416342439584684,-29.54279415315671,4.416342439584684,29.54279415315671,-14.0625,-21.543648842445414,0.12530808252431538,0.23290085239521843,0,470.7788540069829,0,300.5498260819801
16.599999999999795,8.4375,-40.25,-8.4375,40.25,-3.651807431586351,-30.341978941244477,3.651807431586351,30.341978941244477,-14.0625,-21.904175629611565,0.1230867034507666,0.23404300517187102,0,471.13900777377205,0,303.2846351525628
16.609999999999797,8.8125,-39.9375,-8.8125,39.9375,-2.9333633469801863,-31.10918386636847,2.9333633469801863,31.10918386636847,-14.0625,-22.133930488468707,0.11969084760305695,0.23462924660049786,0,471.60126010958925,0,306.11095159061006
16.6199999999998,8.9375,-39.8125,-8.9375,39.8125,-2.2755215744809423,-31.84325483804155,2.2755215744809423,31.84325483804155,-14.0625,-22.242843017411797,0.11675273959269314,0.2346433031685052,0,472.04766032763314,0,309.0965360108423
16.6299999999998,9.125,-39.5,-9.125,39.5,-1.6917751803158276,-32.54159147875085,1.6917751803158276,32.54159147875085,-14.0625,-22.245610252918993,0.11423693911855778,0.23407805969942158,0,472.36219671886874,0,312.30301931967915
16.6399999999998,9.3125,-31.25,-9.3125,31.25,-1.1940485617877235,-33.20045690461429,1.1940485617877235,33.20045690461429,-14.0625,-22.16038012252786,0.11213564800398915,0.23293578695394088,0,472.4455700224778,0,315.77320349409115
16.649999999999803,9.5,-39.0,-9.5,39.0,-0.7921263662748369,-33.815510576115074,0.7921263662748369,33.815510576115074,-23.875,-22.007212020266923,0.10894696111027057,0.231228025492447,0,472.2299808315805,0,319.51834589798693
16.659999999999805,9.6875,-38.8125,-9.6875,38.8125,-0.49308097829756997,-34.382432369019476,0.49308097829756997,34.382432369019476,-23.75,-21.806402250913976,0.10634052762706096,0.22897516565608003,0,471.6859662034765,0,323.513179562239
